Restaurante;Barrio;Tipo;Precio;Rating;Reseña
Vida Vegana;Caballito;Natural;$$$;2;Las porciones son pequeñas
Sabor Natural;Caballito;Orgánico;$$;2;Ambiente lindo pero servicio lento
Raíces Urbanas;Almagro;Vegano;$$$;4;Ingredientes de primera calidad
Semilla Urbana;Palermo;Natural;$$;4;Comida deliciosa y saludable
Semilla Urbana;Almagro;Natural;$$;2;No vale el precio
Green Spot;Recoleta;Natural;$$;2;Buena comida pero mala atención
La Huerta BA;Almagro;Vegano;$$$;2;La atención fue lenta
Green Spot;Belgrano;Natural;$$;1;Demasiada espera para los platos
EcoBite;Recoleta;Orgánico;$;2;Ambiente lindo pero servicio lento
Vida Vegana;Palermo;Natural;$;4;Comida deliciosa y saludable
Raíces Urbanas;Almagro;Café saludable;$$$;4;Excelente calidad y muy fresco
Semilla Urbana;Caballito;Orgánico;$$$;5;Me encantó la experiencia, volvería
Fresh Market;Recoleta;Natural;$$$;2;No vale el precio
Semilla Urbana;Caballito;Café saludable;$$$;2;La atención fue lenta
Green Spot;Recoleta;Natural;$$$;4;Comida deliciosa y saludable
Sabor Natural;Recoleta;Natural;$$$;4;Excelente calidad y muy fresco
Verde Raíz;Palermo;Vegano;$$$;5;Me encantó la experiencia, volvería
Sabor Natural;Palermo;Orgánico;$;1;Demasiada espera para los platos
Raíces Urbanas;Almagro;Sin TACC;$$$;5;Comida deliciosa y saludable
EcoBite;Caballito;Café saludable;$$$;4;Ambiente lindo pero servicio lento
Fresh Market;Almagro;Café saludable;$;1;Demasiada espera para los platos
Raíces Urbanas;Caballito;Vegano;$$$;5;Me encantó la experiencia, volvería
Raíces Urbanas;Caballito;Natural;$;1;Muy caro para lo que ofrecen
EcoBite;Caballito;Café saludable;$;4;Comida deliciosa y saludable
Orgánico Express;Caballito;Sin TACC;$$;5;Comida deliciosa y saludable
Green Spot;Belgrano;Natural;$$;1;Muy caro para lo que ofrecen
Orgánico Express;Belgrano;Café saludable;$;5;Muy buena atención y ambiente agradable
EcoBite;Caballito;Café saludable;$$$;4;Muy buena atención y ambiente agradable
Verde Raíz;Almagro;Café saludable;$$$;5;Comida deliciosa y saludable
Semilla Urbana;Palermo;Sin TACC;$$$;3;Excelente calidad aunque los precios son altos
La Huerta BA;Caballito;Orgánico;$$$;1;Demasiada espera para los platos
Orgánico Express;Belgrano;Natural;$$$;3;Excelente calidad aunque los precios son altos
Raíces Urbanas;Palermo;Orgánico;$$$;2;Rico pero caro
Orgánico Express;Palermo;Orgánico;$$;2;Ambiente lindo pero servicio lento
Sabor Natural;Palermo;Orgánico;$$$;5;Me encantó la experiencia, volvería
Verde Raíz;Belgrano;Sin TACC;$$$;4;Excelente calidad y muy fresco
Vida Vegana;Almagro;Natural;$$;2;Muy caro para lo que ofrecen
Orgánico Express;Recoleta;Vegano;$;1;No vale el precio
La Huerta BA;Caballito;Orgánico;$;2;Muy caro para lo que ofrecen
Semilla Urbana;Recoleta;Natural;$$$;3;Excelente calidad aunque los precios son altos
Orgánico Express;Palermo;Orgánico;$$;2;Excelente calidad aunque los precios son altos
Semilla Urbana;Belgrano;Vegano;$$$;2;Demasiada espera para los platos
Verde Raíz;Recoleta;Vegano;$;1;Demasiada espera para los platos
Verde Raíz;Almagro;Vegano;$;2;Demasiada espera para los platos
La Huerta BA;Palermo;Vegano;$$;2;No vale el precio
La Huerta BA;Almagro;Café saludable;$$;5;Me encantó la experiencia, volvería
Green Spot;Caballito;Orgánico;$;4;Comida deliciosa y saludable
Fresh Market;Almagro;Sin TACC;$;2;Las porciones son pequeñas
Orgánico Express;Belgrano;Sin TACC;$$;4;Excelente calidad y muy fresco
La Huerta BA;Belgrano;Café saludable;$$$;5;Me encantó la experiencia, volvería
Fresh Market;Almagro;Orgánico;$$$;3;Buena comida pero mala atención
Semilla Urbana;Recoleta;Orgánico;$;4;Buena comida pero mala atención
La Huerta BA;Belgrano;Café saludable;$;5;Comida deliciosa y saludable
Sabor Natural;Belgrano;Natural;$$$;2;Rico pero caro
Fresh Market;Almagro;Sin TACC;$;5;Muy buena atención y ambiente agradable
Sabor Natural;Almagro;Orgánico;$$;5;Me encantó la experiencia, volvería
La Huerta BA;Recoleta;Vegano;$;4;Excelente calidad y muy fresco
Fresh Market;Caballito;Orgánico;$;3;Rico pero caro
Raíces Urbanas;Palermo;Orgánico;$;1;Muy caro para lo que ofrecen
Verde Raíz;Palermo;Café saludable;$$;1;Las porciones son pequeñas
Verde Raíz;Palermo;Sin TACC;$$$;4;Ingredientes de primera calidad
La Huerta BA;Belgrano;Natural;$;1;Muy caro para lo que ofrecen
Raíces Urbanas;Belgrano;Vegano;$$;5;Ingredientes de primera calidad
Fresh Market;Caballito;Orgánico;$$;1;La atención fue lenta
La Huerta BA;Almagro;Natural;$$;1;La atención fue lenta
Verde Raíz;Caballito;Vegano;$;2;No vale el precio
Fresh Market;Caballito;Café saludable;$$$;1;La atención fue lenta
Green Spot;Recoleta;Café saludable;$;5;Ingredientes de primera calidad
EcoBite;Palermo;Café saludable;$$;2;Las porciones son pequeñas
Green Spot;Almagro;Vegano;$$;5;Excelente calidad y muy fresco
Semilla Urbana;Belgrano;Natural;$$$;5;Ingredientes de primera calidad
Sabor Natural;Almagro;Orgánico;$$;3;Ambiente lindo pero servicio lento
Semilla Urbana;Palermo;Café saludable;$;5;Ingredientes de primera calidad
Verde Raíz;Belgrano;Orgánico;$$$;5;Comida deliciosa y saludable
Fresh Market;Recoleta;Vegano;$$;5;Comida deliciosa y saludable
Raíces Urbanas;Caballito;Sin TACC;$$;2;Las porciones son pequeñas
La Huerta BA;Recoleta;Sin TACC;$$$;4;Comida deliciosa y saludable
Orgánico Express;Palermo;Sin TACC;$$;5;Me encantó la experiencia, volvería
Verde Raíz;Recoleta;Vegano;$$$;2;Ambiente lindo pero servicio lento
EcoBite;Palermo;Café saludable;$;2;Muy caro para lo que ofrecen
La Huerta BA;Belgrano;Sin TACC;$;1;La atención fue lenta
EcoBite;Recoleta;Vegano;$$$;4;Me encantó la experiencia, volvería
EcoBite;Caballito;Vegano;$;4;Me encantó la experiencia, volvería
EcoBite;Almagro;Orgánico;$;2;Demasiada espera para los platos
La Huerta BA;Caballito;Vegano;$;4;Muy buena atención y ambiente agradable
Raíces Urbanas;Caballito;Natural;$$;4;Muy buena atención y ambiente agradable
Semilla Urbana;Recoleta;Sin TACC;$$;2;Ambiente lindo pero servicio lento
Green Spot;Palermo;Natural;$$$;2;La atención fue lenta
La Huerta BA;Caballito;Vegano;$$;2;La atención fue lenta
Raíces Urbanas;Caballito;Vegano;$$;2;Ambiente lindo pero servicio lento
Raíces Urbanas;Palermo;Vegano;$$;2;Ambiente lindo pero servicio lento
Green Spot;Recoleta;Sin TACC;$;2;Las porciones son pequeñas
Sabor Natural;Palermo;Natural;$$$;4;Buena comida pero mala atención
Verde Raíz;Belgrano;Café saludable;$$;4;Excelente calidad y muy fresco
EcoBite;Palermo;Natural;$;2;Ambiente lindo pero servicio lento
Raíces Urbanas;Recoleta;Natural;$;2;No vale el precio
Semilla Urbana;Recoleta;Orgánico;$$;4;Excelente calidad y muy fresco
La Huerta BA;Caballito;Orgánico;$$;4;Me encantó la experiencia, volvería
Verde Raíz;Caballito;Natural;$$$;3;Buena comida pero mala atención
La Huerta BA;Palermo;Orgánico;$$$;4;Excelente calidad y muy fresco
Orgánico Express;Almagro;Natural;$;4;Excelente calidad y muy fresco
Sabor Natural;Recoleta;Vegano;$;4;Muy buena atención y ambiente agradable
EcoBite;Recoleta;Sin TACC;$$$;1;Demasiada espera para los platos
Verde Raíz;Belgrano;Natural;$$$;5;Excelente calidad y muy fresco
La Huerta BA;Almagro;Café saludable;$$;3;Buena comida pero mala atención
Semilla Urbana;Almagro;Café saludable;$$;4;Muy buena atención y ambiente agradable
Semilla Urbana;Recoleta;Sin TACC;$$$;2;Rico pero caro
Vida Vegana;Almagro;Natural;$;5;Muy buena atención y ambiente agradable
Sabor Natural;Belgrano;Sin TACC;$;2;Buena comida pero mala atención
La Huerta BA;Recoleta;Natural;$;3;Buena comida pero mala atención
Orgánico Express;Palermo;Orgánico;$$$;1;La atención fue lenta
EcoBite;Palermo;Orgánico;$$$;2;Rico pero caro
Green Spot;Almagro;Orgánico;$$$;2;Demasiada espera para los platos
Semilla Urbana;Caballito;Café saludable;$;3;Buena comida pero mala atención
Orgánico Express;Belgrano;Sin TACC;$$;2;Las porciones son pequeñas
Semilla Urbana;Almagro;Orgánico;$$$;5;Ingredientes de primera calidad
